                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9253,                 4.2954,                 1.9007,                      0,                      0,                      0,                      0,                 1.7337,                 3.8933,                 1.8197,                4.5e-05,                4.5e-05,                4.5e-05
                      2,                 1.7768,                  4.107,                 1.7431,                      1,                0.02703,                 0.5135,                0.25675,                 1.5848,                 3.8905,                 1.6647,              9.406e-05,              9.406e-05,              9.406e-05
                      3,                 1.6923,                 3.5235,                 1.6788,                0.32075,                0.45946,                0.44734,                0.27344,                  1.465,                 3.6762,                 1.5019,             0.00014213,             0.00014213,             0.00014213
                      4,                 1.6702,                  2.581,                 1.6672,                0.34211,                 0.7027,                0.55495,                0.33944,                 1.5462,                 3.1345,                 1.5623,             0.00018921,             0.00018921,             0.00018921
                      5,                 1.6114,                 2.0643,                 1.6048,                0.74786,                0.32086,                0.63164,                0.31722,                 1.6855,                 2.6456,                 1.6653,              0.0002353,              0.0002353,              0.0002353
                      6,                  1.612,                 1.8759,                 1.5386,                 0.8163,                0.48061,                0.68614,                0.36175,                 1.6177,                 2.2563,                 1.5953,              0.0002804,              0.0002804,              0.0002804
                      7,                 1.5593,                 1.7638,                 1.5288,                0.57562,                0.54054,                0.59405,                0.33731,                 1.5861,                 2.2146,                 1.6465,             0.00032451,             0.00032451,             0.00032451
                      8,                 1.5238,                 1.6482,                 1.5332,                0.81812,                0.48628,                0.65039,                0.36947,                 1.4897,                 1.9167,                 1.4822,             0.00036763,             0.00036763,             0.00036763
                      9,                 1.5305,                 1.5252,                 1.4896,                0.58967,                0.72973,                0.67466,                0.38299,                 1.5235,                 1.6017,                 1.5619,             0.00040976,             0.00040976,             0.00040976
                     10,                  1.587,                 1.5284,                 1.4999,                0.72218,                0.70256,                0.72285,                0.38451,                 1.5947,                  1.407,                 1.6661,              0.0004509,              0.0004509,              0.0004509
                     11,                 1.4502,                 1.4366,                 1.4789,                0.63427,                0.75005,                0.74803,                0.43548,                 1.4805,                 1.2698,                 1.6124,              0.0004505,              0.0004505,              0.0004505
                     12,                 1.4702,                 1.4302,                 1.4921,                0.75619,                0.62162,                0.74898,                0.43737,                 1.5288,                 1.2588,                  1.598,             0.00044555,             0.00044555,             0.00044555
                     13,                 1.4286,                 1.4393,                 1.4697,                0.60486,                0.78378,                 0.7802,                0.43451,                 1.5609,                 1.2592,                 1.6091,              0.0004406,              0.0004406,              0.0004406
                     14,                  1.432,                  1.447,                 1.4252,                0.61278,                0.81266,                0.75102,                0.40626,                 1.5593,                  1.266,                 1.6157,             0.00043565,             0.00043565,             0.00043565
                     15,                 1.3848,                 1.3764,                  1.423,                0.74995,                0.62162,                0.74805,                0.41526,                 1.5643,                 1.2744,                 1.6397,              0.0004307,              0.0004307,              0.0004307
