                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9253,                 4.2954,                 1.9007,                      0,                      0,                      0,                      0,                 1.7337,                 3.8933,                 1.8197,                4.5e-05,                4.5e-05,                4.5e-05
                      2,                 1.7749,                  4.108,                 1.7417,                      1,                0.02703,                 0.5135,                 0.3081,                 1.5873,                 3.8847,                 1.6608,             9.3824e-05,             9.3824e-05,             9.3824e-05
                      3,                 1.6924,                 3.5299,                   1.68,                0.32143,                0.48649,                0.44754,                0.28625,                 1.4667,                 3.6725,                 1.4928,             0.00014141,             0.00014141,             0.00014141
                      4,                 1.6694,                 2.5893,                 1.6686,                0.30337,                0.72973,                0.56592,                0.32533,                 1.5979,                 3.1431,                 1.6209,             0.00018776,             0.00018776,             0.00018776
                      5,                 1.6145,                 2.0564,                 1.6113,                0.59071,                 0.2973,                0.58886,                0.29814,                 1.6814,                 2.6078,                 1.7618,             0.00023287,             0.00023287,             0.00023287
                      6,                  1.617,                 1.8474,                 1.5509,                0.78239,                0.48589,                0.67239,                0.37098,                 1.6221,                 2.2008,                 1.6303,             0.00027675,             0.00027675,             0.00027675
                      7,                 1.5476,                  1.757,                 1.5218,                 0.6761,                0.54054,                0.64783,                0.37225,                 1.5783,                 2.0817,                 1.6031,             0.00031938,             0.00031938,             0.00031938
                      8,                 1.5236,                 1.6478,                 1.5256,                0.71324,                 0.6052,                0.70516,                0.41885,                 1.4972,                 1.8225,                 1.5193,             0.00036078,             0.00036078,             0.00036078
                      9,                 1.5295,                 1.5477,                 1.4908,                 0.7366,                0.59459,                0.71073,                0.42519,                 1.5249,                 1.6506,                 1.5976,             0.00040094,             0.00040094,             0.00040094
                     10,                 1.5592,                 1.5226,                 1.4896,                0.73756,                0.72973,                0.77547,                0.40478,                  1.582,                  1.453,                 1.6939,             0.00043987,             0.00043987,             0.00043987
                     11,                 1.4331,                 1.4368,                 1.4652,                0.80486,                0.66902,                0.78312,                 0.4321,                 1.5436,                 1.2513,                 1.6538,             0.00043812,             0.00043812,             0.00043812
                     12,                 1.4573,                 1.4294,                 1.4849,                0.88461,                0.64865,                0.80478,                 0.4457,                 1.5736,                 1.2143,                 1.6173,             0.00043194,             0.00043194,             0.00043194
                     13,                 1.4111,                 1.4498,                 1.4758,                0.85808,                0.67568,                0.79889,                0.43896,                 1.6061,                 1.2212,                 1.6225,             0.00042575,             0.00042575,             0.00042575
                     14,                  1.422,                  1.424,                 1.4352,                0.81508,                 0.7027,                0.77962,                0.40562,                 1.6059,                 1.3199,                 1.6409,             0.00041956,             0.00041956,             0.00041956
                     15,                 1.3953,                 1.3847,                 1.4445,                0.73089,                0.75676,                0.77062,                0.41243,                 1.5888,                 1.3563,                 1.6085,             0.00041338,             0.00041338,             0.00041338
                     16,                 1.4908,                 1.3351,                 1.4602,                0.75937,                0.75676,                0.78458,                0.38617,                 1.7001,                 1.2512,                 1.7548,             0.00040719,             0.00040719,             0.00040719
