                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9253,                 4.2954,                 1.9007,                      0,                      0,                      0,                      0,                 1.7337,                 3.8933,                 1.8197,                4.5e-05,                4.5e-05,                4.5e-05
                      2,                 1.7761,                 4.1077,                 1.7436,                      1,                0.02703,                 0.5135,                0.25675,                 1.6014,                 3.8792,                 1.6749,             9.4478e-05,             9.4478e-05,             9.4478e-05
                      3,                 1.6991,                 3.5196,                 1.6831,                0.33962,                0.48649,                0.42987,                0.26536,                 1.4563,                  3.678,                  1.517,             0.00014341,             0.00014341,             0.00014341
                      4,                 1.6795,                 2.5777,                 1.6648,                0.30233,                 0.7027,                0.55646,                 0.3425,                 1.5669,                 3.1433,                 1.5795,             0.00019178,             0.00019178,             0.00019178
                      5,                 1.5989,                 2.0684,                 1.5922,                0.74027,                0.30854,                0.62851,                 0.3384,                 1.6744,                 2.6193,                 1.6654,             0.00023961,             0.00023961,             0.00023961
                      6,                 1.5953,                 1.8405,                 1.5272,                0.83326,                0.43243,                0.68449,                0.35621,                 1.6721,                 2.3491,                  1.633,             0.00028689,             0.00028689,             0.00028689
                      7,                 1.5634,                 1.7605,                 1.5369,                0.60503,                0.53827,                0.59834,                0.33181,                 1.6565,                 2.1882,                 1.6728,             0.00033361,             0.00033361,             0.00033361
                      8,                 1.5169,                 1.6419,                   1.55,                0.76849,                0.51351,                0.64749,                0.34824,                 1.5648,                 1.9653,                 1.6087,             0.00037979,             0.00037979,             0.00037979
                      9,                 1.5404,                 1.5493,                 1.5029,                0.72475,                0.56937,                0.67071,                 0.3918,                 1.4949,                 1.5692,                 1.5574,             0.00042542,             0.00042542,             0.00042542
                     10,                 1.5762,                 1.5371,                 1.5097,                0.78693,                0.69883,                0.69723,                0.37835,                 1.6139,                 1.4554,                 1.6654,              0.0004705,              0.0004705,              0.0004705
                     11,                 1.4322,                 1.4362,                 1.4704,                0.77808,                0.64865,                0.77159,                0.43521,                 1.5553,                  1.278,                 1.6522,              0.0004725,              0.0004725,              0.0004725
                     12,                 1.4648,                 1.4381,                 1.4937,                0.71546,                0.72973,                0.79346,                0.44718,                 1.5862,                 1.2188,                 1.6726,             0.00046975,             0.00046975,             0.00046975
                     13,                 1.3962,                 1.4409,                 1.4507,                 0.7114,                 0.7329,                0.80445,                0.44485,                 1.6031,                 1.1917,                  1.682,               0.000467,               0.000467,               0.000467
                     14,                 1.4405,                 1.4096,                 1.4378,                0.59564,                0.89189,                0.77465,                0.42018,                 1.5718,                 1.2495,                 1.6073,             0.00046425,             0.00046425,             0.00046425
                     15,                 1.3761,                 1.3523,                 1.4327,                0.60437,                0.78447,                   0.76,                0.40706,                 1.5921,                 1.2564,                  1.649,              0.0004615,              0.0004615,              0.0004615
                     16,                 1.4676,                 1.3304,                 1.4363,                0.77409,                0.64865,                0.74243,                0.37411,                 1.6644,                 1.3787,                 1.7105,             0.00045875,             0.00045875,             0.00045875
                     17,                 1.4707,                 1.3163,                 1.4162,                 0.7212,                0.62162,                0.70037,                0.36322,                 1.6857,                 1.4826,                 1.7251,               0.000456,               0.000456,               0.000456
                     18,                 1.3741,                  1.294,                 1.4163,                0.65143,                0.70724,                0.68705,                0.38411,                 1.6443,                 1.4105,                 1.7117,             0.00045325,             0.00045325,             0.00045325
                     19,                 1.5003,                 1.3109,                 1.4238,                0.68093,                0.80758,                0.70802,                0.38278,                 1.6185,                 1.2874,                 1.7022,              0.0004505,              0.0004505,              0.0004505
                     20,                 1.3775,                 1.2693,                 1.3601,                0.72116,                0.75676,                0.74144,                0.39319,                 1.6379,                 1.2623,                 1.6735,             0.00044775,             0.00044775,             0.00044775
                     21,                 1.4164,                 1.2471,                 1.3676,                0.71633,                 0.7027,                0.73308,                0.39408,                 1.6691,                 1.2817,                 1.6606,               0.000445,               0.000445,               0.000445
                     22,                 1.3967,                 1.2356,                 1.3637,                0.72883,                0.72649,                0.71767,                0.36527,                 1.6982,                 1.2398,                  1.726,             0.00044225,             0.00044225,             0.00044225
                     23,                 1.3496,                 1.2024,                 1.3649,                0.65385,                 0.7027,                0.72621,                0.39399,                 1.7236,                 1.3416,                 1.7736,              0.0004395,              0.0004395,              0.0004395
                     24,                 1.3487,                 1.1867,                  1.352,                0.68813,                0.71578,                0.75036,                0.41364,                 1.6563,                 1.2251,                 1.7736,             0.00043675,             0.00043675,             0.00043675
                     25,                 1.3362,                 1.1206,                 1.3244,                0.70961,                 0.7027,                0.73216,                0.40475,                 1.6715,                 1.1971,                  1.742,               0.000434,               0.000434,               0.000434
                     26,                 1.2868,                 1.1197,                 1.3316,                 0.7268,                 0.7027,                0.72419,                0.39481,                 1.6373,                 1.2491,                 1.6782,             0.00043125,             0.00043125,             0.00043125
                     27,                 1.2679,                 1.1178,                 1.3215,                0.71224,                0.72973,                0.78278,                0.39036,                 1.6442,                  1.217,                 1.6782,              0.0004285,              0.0004285,              0.0004285
                     28,                 1.2904,                 1.0902,                 1.3348,                0.65027,                0.78378,                0.74356,                0.41282,                 1.5783,                 1.2164,                 1.5999,             0.00042575,             0.00042575,             0.00042575
                     29,                 1.2738,                 1.0802,                 1.3217,                0.64474,                0.78482,                0.72878,                0.43084,                 1.5783,                 1.2145,                 1.5829,               0.000423,               0.000423,               0.000423
                     30,                 1.2736,                 1.0927,                 1.2923,                0.75575,                0.64865,                0.73096,                0.40282,                 1.7069,                 1.2742,                  1.647,             0.00042025,             0.00042025,             0.00042025
                     31,                 1.2569,                 1.1056,                 1.2983,                0.74883,                0.64474,                0.70246,                0.38005,                 1.6436,                 1.3075,                 1.6392,              0.0004175,              0.0004175,              0.0004175
                     32,                 1.2088,                 1.0764,                 1.2868,                0.69159,                0.81081,                0.69991,                0.36729,                 1.7005,                 1.2834,                 1.7011,             0.00041475,             0.00041475,             0.00041475
                     33,                 1.2127,                 0.9828,                 1.2667,                0.71458,                0.81201,                0.72815,                0.35407,                 1.8401,                 1.2279,                 1.7966,               0.000412,               0.000412,               0.000412
                     34,                 1.3149,                 1.0232,                 1.2975,                0.75153,                0.72973,                0.71462,                0.38052,                 1.7088,                 1.2369,                 1.6572,             0.00040925,             0.00040925,             0.00040925
                     35,                 1.2728,                 1.0408,                 1.2798,                0.75381,                0.78378,                0.68888,                0.35701,                  1.749,                 1.2446,                 1.6701,              0.0004065,              0.0004065,              0.0004065
                     36,                 1.2007,                 1.0392,                 1.2859,                0.70856,                0.78859,                0.66351,                0.36278,                 1.6189,                 1.2165,                  1.643,             0.00040375,             0.00040375,             0.00040375
                     37,                 1.1929,                0.98306,                 1.2566,                0.66608,                0.70089,                0.67137,                0.35022,                 1.6637,                 1.2273,                 1.6526,               0.000401,               0.000401,               0.000401
                     38,                 1.2518,                 1.0104,                 1.2771,                0.69673,                0.67568,                0.70275,                0.37835,                 1.6269,                 1.2631,                   1.66,             0.00039825,             0.00039825,             0.00039825
                     39,                 1.2305,                 1.0112,                 1.2796,                0.70256,                0.70223,                0.67739,                0.37503,                 1.5846,                 1.2294,                 1.5817,              0.0003955,              0.0003955,              0.0003955
                     40,                 1.2274,                0.96424,                 1.2498,                0.65798,                 0.7027,                0.65389,                0.34917,                 1.6532,                 1.3098,                 1.6384,             0.00039275,             0.00039275,             0.00039275
                     41,                  1.243,                0.96757,                 1.2428,                0.69872,                0.64865,                0.63129,                0.31387,                 1.8014,                 1.3405,                 1.7643,                0.00039,                0.00039,                0.00039
                     42,                 1.3297,                0.99193,                  1.279,                0.66456,                0.75676,                0.67735,                0.33817,                 1.7496,                 1.2771,                 1.7814,             0.00038725,             0.00038725,             0.00038725
                     43,                 1.2474,                0.99845,                  1.308,                0.65944,                0.75676,                0.73434,                0.38437,                 1.7053,                 1.2055,                 1.7231,              0.0003845,              0.0003845,              0.0003845
                     44,                 1.2527,                 0.9769,                 1.2665,                0.62036,                0.72973,                0.67864,                 0.3865,                 1.5967,                    1.2,                  1.632,             0.00038175,             0.00038175,             0.00038175
                     45,                 1.2119,                0.95572,                 1.2278,                0.62279,                0.75676,                 0.6268,                0.35458,                 1.5294,                 1.1927,                 1.5976,               0.000379,               0.000379,               0.000379
                     46,                 1.2041,                0.94053,                 1.2371,                0.62487,                0.78378,                0.71195,                0.39649,                 1.6388,                 1.1341,                 1.6941,             0.00037625,             0.00037625,             0.00037625
                     47,                 1.1853,                0.96935,                 1.2484,                 0.7293,                0.72818,                0.77561,                0.44135,                 1.6596,                 1.0657,                 1.6599,              0.0003735,              0.0003735,              0.0003735
                     48,                 1.2357,                0.96353,                 1.2601,                0.75774,                 0.7027,                0.76846,                0.39734,                 1.6331,                  1.075,                 1.6706,             0.00037075,             0.00037075,             0.00037075
                     49,                 1.1428,                0.90099,                 1.2155,                0.67656,                0.72973,                0.72608,                0.38023,                 1.7149,                  1.136,                 1.6952,               0.000368,               0.000368,               0.000368
                     50,                  1.178,                0.90147,                 1.2466,                0.71742,                 0.7027,                0.71348,                0.36717,                 1.6672,                 1.1123,                 1.6545,             0.00036525,             0.00036525,             0.00036525
                     51,                 1.0941,                0.88586,                 1.2235,                0.69135,                0.72653,                0.71257,                0.36411,                 1.6527,                 1.1673,                 1.6594,              0.0003625,              0.0003625,              0.0003625
                     52,                  1.154,                0.91104,                 1.2026,                0.73421,                0.67568,                0.68038,                0.35233,                 1.7264,                  1.237,                 1.7234,             0.00035975,             0.00035975,             0.00035975
                     53,                  1.109,                0.87409,                 1.2049,                 0.7128,                 0.7027,                   0.69,                0.35772,                 1.7343,                 1.2757,                 1.7152,               0.000357,               0.000357,               0.000357
