                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9884,                  6.319,                 2.0084,                0.23216,                0.13514,                0.09221,                0.03815,                 2.0355,                 5.8117,                  2.276,                4.5e-05,                4.5e-05,                4.5e-05
                      2,                 1.8617,                 3.1925,                 1.8253,                0.69782,                0.35135,                0.43644,                 0.2423,                 1.7934,                 10.758,                 2.0106,              9.406e-05,              9.406e-05,              9.406e-05
                      3,                 1.6894,                 2.1907,                 1.6844,                0.63383,                0.56154,                0.58487,                0.36805,                 1.6635,                 3.9334,                 1.8184,             0.00014213,             0.00014213,             0.00014213
                      4,                 1.5942,                 1.6948,                  1.591,                0.72014,                0.72973,                0.68422,                 0.3748,                 1.6082,                 2.5819,                 1.7104,             0.00018921,             0.00018921,             0.00018921
                      5,                 1.4748,                 1.5238,                 1.5114,                0.67293,                0.72973,                 0.7102,                0.37599,                 1.7112,                 1.6707,                 1.7822,              0.0002353,              0.0002353,              0.0002353
                      6,                 1.5204,                 1.3548,                 1.4561,                0.61007,                0.76123,                0.65079,                0.32969,                 1.7617,                 1.6489,                 1.8687,              0.0002804,              0.0002804,              0.0002804
                      7,                 1.4788,                 1.3371,                 1.4382,                0.62998,                0.78228,                0.68201,                0.36825,                 1.6313,                 1.4679,                 1.7528,             0.00032451,             0.00032451,             0.00032451
                      8,                 1.4975,                 1.3171,                 1.4921,                0.60947,                0.80153,                0.68726,                0.37287,                 1.6201,                 1.6332,                 1.6826,             0.00036763,             0.00036763,             0.00036763
                      9,                 1.4654,                 1.2415,                 1.4161,                0.58025,                0.67256,                0.60019,                0.32156,                 1.7141,                 1.7554,                 1.7825,             0.00040976,             0.00040976,             0.00040976
                     10,                 1.4851,                 1.1285,                 1.4075,                 0.6871,                0.65294,                0.67392,                0.35935,                 1.7353,                 1.5135,                 1.7936,              0.0004509,              0.0004509,              0.0004509
                     11,                 1.3466,                  1.043,                  1.359,                0.54158,                0.86214,                0.69366,                0.38111,                 1.6954,                 1.3482,                 1.7207,              0.0004505,              0.0004505,              0.0004505
                     12,                 1.3905,                 1.0242,                 1.3877,                 0.7449,                0.67568,                0.76695,                 0.4235,                    1.6,                  1.227,                 1.5948,             0.00044555,             0.00044555,             0.00044555
                     13,                 1.3775,                 1.0219,                 1.3996,                0.63517,                0.72973,                0.71424,                0.38082,                 1.6683,                 1.2893,                 1.6482,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.3877,                0.99045,                  1.376,                0.68623,                0.83784,                0.82285,                0.47482,                 1.4977,                 1.0663,                  1.512,             0.00043565,             0.00043565,             0.00043565
                     15,                 1.3394,                0.98264,                 1.3529,                 0.6329,                0.83784,                0.79725,                0.45922,                 1.5199,                 1.0722,                 1.5593,              0.0004307,              0.0004307,              0.0004307
                     16,                   1.43,                 1.0023,                 1.3743,                0.58432,                0.81081,                0.64884,                0.29904,                 1.8636,                 1.1866,                 1.9872,             0.00042575,             0.00042575,             0.00042575
                     17,                 1.4054,                0.97254,                 1.3585,                0.70925,                0.72532,                0.74604,                0.37507,                 1.6925,                 1.2058,                 1.8358,              0.0004208,              0.0004208,              0.0004208
                     18,                 1.3019,                0.89575,                 1.3443,                0.72086,                0.69806,                0.75345,                0.38703,                 1.6779,                 1.1175,                   1.82,             0.00041585,             0.00041585,             0.00041585
                     19,                 1.3996,                0.94099,                 1.3455,                0.73152,                 0.7027,                0.73862,                0.38633,                 1.7186,                 1.2857,                 1.8262,              0.0004109,              0.0004109,              0.0004109
                     20,                 1.3014,                0.89288,                 1.2936,                0.81715,                0.64865,                 0.7569,                0.41017,                 1.6431,                 1.1132,                 1.7339,             0.00040595,             0.00040595,             0.00040595
                     21,                 1.3535,                0.89744,                 1.3174,                0.81487,                0.71398,                0.78556,                 0.4223,                 1.5882,                 1.1914,                 1.7187,               0.000401,               0.000401,               0.000401
                     22,                 1.3109,                0.87626,                 1.3067,                0.80856,                0.68509,                 0.7853,                0.40166,                 1.6505,                 1.1226,                 1.7742,             0.00039605,             0.00039605,             0.00039605
                     23,                 1.2429,                0.83951,                 1.2895,                0.76986,                0.67568,                0.71761,                0.38677,                 1.6775,                 1.1023,                 1.8228,              0.0003911,              0.0003911,              0.0003911
                     24,                 1.2534,                0.84519,                 1.2821,                0.73233,                0.78378,                0.76519,                0.39991,                 1.6605,                 1.2096,                 1.8007,             0.00038615,             0.00038615,             0.00038615
                     25,                 1.2634,                0.78722,                 1.2609,                0.62936,                0.75676,                0.68551,                0.37367,                 1.7478,                 1.3311,                 1.7924,              0.0003812,              0.0003812,              0.0003812
                     26,                  1.204,                 0.7881,                 1.2748,                 0.6632,                0.79843,                0.71644,                0.37375,                  1.746,                 1.2216,                 1.8414,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.1643,                0.76861,                  1.255,                0.66978,                0.83784,                 0.7322,                0.36739,                 1.7251,                 1.1809,                 1.8087,              0.0003713,              0.0003713,              0.0003713
                     28,                 1.1692,                0.72797,                 1.2431,                 0.8123,                0.70181,                0.73898,                0.38011,                 1.7011,                 1.1381,                 1.7854,             0.00036635,             0.00036635,             0.00036635
                     29,                 1.1413,                0.74771,                 1.2311,                0.71944,                0.75676,                0.73462,                0.36019,                 1.8073,                 1.1585,                 1.8463,              0.0003614,              0.0003614,              0.0003614
                     30,                 1.1359,                0.73588,                 1.2124,                0.78343,                 0.7822,                0.76425,                 0.3606,                 1.8848,                 1.1622,                 1.9276,             0.00035645,             0.00035645,             0.00035645
                     31,                 1.1286,                0.71366,                 1.2193,                0.71057,                0.72989,                0.72399,                0.40963,                 1.6784,                 1.1948,                 1.6685,              0.0003515,              0.0003515,              0.0003515
                     32,                 1.1305,                0.73255,                 1.2231,                0.70112,                0.78378,                0.72719,                0.38303,                 1.7752,                 1.1877,                 1.9218,             0.00034655,             0.00034655,             0.00034655
                     33,                 1.0797,                 0.6702,                  1.183,                0.81943,                0.64865,                0.71404,                0.38415,                 1.6519,                 1.0904,                 1.8607,              0.0003416,              0.0003416,              0.0003416
                     34,                 1.1753,                0.70677,                 1.1997,                0.79956,                0.75474,                0.75463,                0.39781,                  1.701,                  0.999,                 1.8263,             0.00033665,             0.00033665,             0.00033665
                     35,                 1.1542,                0.71516,                 1.1903,                 0.6796,                0.91725,                0.77917,                0.37953,                 1.8098,                 1.0796,                 1.9264,              0.0003317,              0.0003317,              0.0003317
                     36,                 1.0717,                0.68519,                 1.2069,                0.73725,                0.89189,                0.79376,                0.38645,                 1.8215,                 1.1336,                 1.9604,             0.00032675,             0.00032675,             0.00032675
