                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9884,                  6.319,                 2.0084,                0.23216,                0.13514,                0.09221,                0.03815,                 2.0355,                 5.8117,                  2.276,                4.5e-05,                4.5e-05,                4.5e-05
                      2,                 1.8618,                 3.1974,                 1.8218,                0.58587,                0.35135,                0.42336,                0.24309,                 1.7547,                 11.006,                 1.9979,             9.3824e-05,             9.3824e-05,             9.3824e-05
                      3,                 1.6889,                 2.1783,                 1.6813,                0.60901,                0.58949,                0.59077,                0.36463,                 1.6263,                 3.9849,                 1.7744,             0.00014141,             0.00014141,             0.00014141
                      4,                  1.602,                  1.698,                 1.5937,                0.65397,                 0.6642,                0.62852,                0.37748,                 1.5239,                  2.734,                 1.6313,             0.00018776,             0.00018776,             0.00018776
                      5,                 1.4861,                 1.5277,                 1.5338,                0.63204,                0.67568,                0.63485,                0.34857,                  1.649,                 1.8896,                 1.7645,             0.00023287,             0.00023287,             0.00023287
                      6,                 1.5076,                  1.375,                 1.4555,                0.66415,                 0.7027,                0.69731,                0.36141,                 1.7242,                 1.5521,                  1.782,             0.00027675,             0.00027675,             0.00027675
                      7,                 1.4774,                 1.3447,                  1.444,                0.79974,                0.53969,                0.63281,                0.35287,                 1.7056,                 1.3302,                 1.7792,             0.00031938,             0.00031938,             0.00031938
                      8,                 1.5066,                 1.3611,                 1.4968,                0.58938,                0.75676,                0.68766,                0.38293,                 1.6342,                 1.6191,                 1.6982,             0.00036078,             0.00036078,             0.00036078
                      9,                 1.4839,                 1.2504,                 1.4368,                0.53882,                0.78378,                 0.6104,                0.31652,                 1.6866,                 1.6888,                 1.7825,             0.00040094,             0.00040094,             0.00040094
                     10,                 1.4842,                 1.1561,                 1.4169,                0.70367,                0.75676,                0.73581,                0.39185,                 1.6183,                 1.8635,                 1.7171,             0.00043987,             0.00043987,             0.00043987
                     11,                 1.3519,                 1.0724,                 1.3704,                0.62369,                0.72973,                0.74966,                0.40789,                  1.619,                 1.2881,                 1.6608,             0.00043812,             0.00043812,             0.00043812
                     12,                 1.3798,                 1.0242,                 1.3779,                0.74356,                0.72973,                0.70113,                 0.3757,                  1.643,                 1.3146,                 1.6289,             0.00043194,             0.00043194,             0.00043194
                     13,                 1.3611,                   1.06,                 1.4086,                0.75946,                0.72973,                0.71386,                0.35948,                 1.7103,                 1.3016,                 1.7094,             0.00042575,             0.00042575,             0.00042575
